#CONTENT
Class,Category,Level,Form
WOUDC,TotalOzone,1.0,1

#DATA_GENERATION
Date,Agency,Version,ScientificAuthority
2025-05-05,IGUT,0.0,Z SHARIEPOUR

#PLATFORM
Type,ID,Name,Country,GAW_ID
STN,464,University of Tehran,IRN,TEH

#INSTRUMENT
Name,Model,Number
Dobson, Beck, 109

#LOCATION
Latitude, Longitude, Height
35.73,51.38,1419

#TIMESTAMP
UTCOffset,Date,Time
+03:00:00,2025-04-01,

#DAILY
Date,WLCode,ObsCode,ColumnO3,StdDevO3,UTC_Begin,UTC_End,UTC_Mean,NObs,mMu,ColumnSO2
2025-04-01,,,,,,,,,,
2025-04-02,,,,,,,,,,
2025-04-03,,,,,,,,,,
2025-04-04,,,,,,,,,,
2025-04-05,,,,,,,,,,
2025-04-06,0,0,271.6,1.5,8.20,14.62,11.50,5,1.375,
2025-04-07,0,0,291.9,1.6,9.53,14.53,12.10,4,1.275,
2025-04-08,0,0,290.6,1.5,8.53,13.53,11.03,4,1.270,
2025-04-09,0,0,277.4,1.0,8.53,14.53,11.43,5,1.322,
2025-04-10,,,,,,,,,,
2025-04-11,,,,,,,,,,
2025-04-12,,,,,,,,,,
2025-04-13,0,0,301.8,2.6,8.53,14.53,11.73,5,1.288,
2025-04-14,0,0,278.6,2.3,8.53,13.78,11.14,4,1.298,
2025-04-15,0,0,316.1,1.5,8.62,13.53,10.91,4,1.265,
2025-04-16,0,0,351.2,2.8,8.53,14.45,11.56,5,1.297,
2025-04-17,,,,,,,,,,
2025-04-18,,,,,,,,,,
2025-04-19,0,0,323.7,4.2,8.53,14.53,11.53,5,1.288,
2025-04-20,0,0,331.3,4.7,8.53,14.53,11.53,5,1.283,
2025-04-21,0,0,314.0,5.1,8.28,14.53,11.48,5,1.292,
2025-04-22,,,,,,,,,,
2025-04-23,0,0,308.1,2.5,8.37,14.53,11.50,5,1.279,
2025-04-24,,,,,,,,,,
2025-04-25,,,,,,,,,,
2025-04-26,0,0,289.2,3.2,8.03,13.53,11.03,5,1.221,
2025-04-27,0,0,295.0,1.7,8.28,13.62,11.43,4,1.208,
2025-04-28,0,0,300.8,6.6,8.03,14.53,11.23,5,1.253,
2025-04-29,0,0,292.4,5.6,13.95,15.03,14.49,2,1.417,
2025-04-30,0,0,292.8,1.0,11.87,14.03,12.95,3,1.159,

#TIMESTAMP
UTCOffset,Date,Time
+03:00:00,2025-04-30,

#MONTHLY
Date,ColumnO3,StdDevO3,Npts
2025-04-01,301.5,20.7,17
