Channel Code,Value,Date,Time,Status
SU,-6,25/05/19,00:07:24:23,Normal
SD,2.16,25/05/19,00:07:24:23,Normal
IU,-90.44,25/05/19,00:07:24:23,Normal
ID,-14.72,25/05/19,00:07:24:23,Normal
Tm,21.16,25/05/19,00:07:24:23,Normal
SU,-4.01,25/05/19,00:17:23:99,Normal
SD,2.8,25/05/19,00:17:23:99,Normal
IU,-88.96,25/05/19,00:17:23:99,Normal
ID,-14.25,25/05/19,00:17:23:99,Normal
Tm,20.94,25/05/19,00:17:23:99,Normal
SU,-4.98,25/05/19,00:27:24:54,Normal
SD,2.38,25/05/19,00:27:24:54,Normal
IU,-88.64,25/05/19,00:27:24:54,Normal
ID,-14.21,25/05/19,00:27:24:54,Normal
Tm,20.86,25/05/19,00:27:24:54,Normal
SU,-2.47,25/05/19,00:37:24:22,Normal
SD,4.22,25/05/19,00:37:24:22,Normal
IU,-87.16,25/05/19,00:37:24:22,Normal
ID,-14.44,25/05/19,00:37:24:22,Normal
Tm,21.12,25/05/19,00:37:24:22,Normal
SU,-5.46,25/05/19,00:47:23:92,Normal
SD,2.04,25/05/19,00:47:23:92,Normal
IU,-88.85,25/05/19,00:47:23:92,Normal
ID,-15.99,25/05/19,00:47:23:92,Normal
Tm,21.38,25/05/19,00:47:23:92,Normal
SU,-3.71,25/05/19,00:57:24:47,Normal
SD,3.41,25/05/19,00:57:24:47,Normal
IU,-86.15,25/05/19,00:57:24:47,Normal
ID,-14.64,25/05/19,00:57:24:47,Normal
Tm,21.17,25/05/19,00:57:24:47,Normal
SU,-3.67,25/05/19,01:07:24:18,Normal
SD,3.41,25/05/19,01:07:24:18,Normal
IU,-90.44,25/05/19,01:07:24:18,Normal
ID,-16.85,25/05/19,01:07:24:18,Normal
Tm,21.59,25/05/19,01:07:24:18,Normal
SU,-5.37,25/05/19,01:17:23:84,Normal
SD,2.15,25/05/19,01:17:23:84,Normal
IU,-89.49,25/05/19,01:17:23:84,Normal
ID,-17.27,25/05/19,01:17:23:84,Normal
Tm,21.64,25/05/19,01:17:23:84,Normal
SU,-2.77,25/05/19,01:27:24:40,Normal
SD,3.98,25/05/19,01:27:24:40,Normal
IU,-88.37,25/05/19,01:27:24:40,Normal
ID,-16.63,25/05/19,01:27:24:40,Normal
Tm,21.57,25/05/19,01:27:24:40,Normal
SU,-2.63,25/05/19,01:37:24:10,Normal
SD,4.19,25/05/19,01:37:24:10,Normal
IU,-91.02,25/05/19,01:37:24:10,Normal
ID,-18.48,25/05/19,01:37:24:10,Normal
Tm,22.11,25/05/19,01:37:24:10,Normal
SU,-7.82,25/05/19,01:47:23:80,Normal
SD,-0.17,25/05/19,01:47:23:80,Normal
IU,-92.08,25/05/19,01:47:23:80,Normal
ID,-19.65,25/05/19,01:47:23:80,Normal
Tm,21.75,25/05/19,01:47:23:80,Normal
SU,-5.72,25/05/19,01:57:24:36,Normal
SD,1.97,25/05/19,01:57:24:36,Normal
IU,-91.18,25/05/19,01:57:24:36,Normal
ID,-17.64,25/05/19,01:57:24:36,Normal
Tm,21.22,25/05/19,01:57:24:36,Normal
SU,-6.23,25/05/19,02:07:24:02,Normal
SD,1.2,25/05/19,02:07:24:02,Normal
IU,-87.69,25/05/19,02:07:24:02,Normal
ID,-16.07,25/05/19,02:07:24:02,Normal
Tm,20.6,25/05/19,02:07:24:02,Normal
SU,-4.36,25/05/19,02:17:23:72,Normal
SD,2.1,25/05/19,02:17:23:72,Normal
IU,-86.63,25/05/19,02:17:23:72,Normal
ID,-15.54,25/05/19,02:17:23:72,Normal
Tm,20.21,25/05/19,02:17:23:72,Normal
SU,-3.9,25/05/19,02:27:24:29,Normal
SD,3.01,25/05/19,02:27:24:29,Normal
IU,-91.61,25/05/19,02:27:24:29,Normal
ID,-18,25/05/19,02:27:24:29,Normal
Tm,20.88,25/05/19,02:27:24:29,Normal
SU,-6.89,25/05/19,02:37:24:00,Normal
SD,0.32,25/05/19,02:37:24:00,Normal
IU,-89.27,25/05/19,02:37:24:00,Normal
ID,-17.52,25/05/19,02:37:24:00,Normal
Tm,20.41,25/05/19,02:37:24:00,Normal
SU,-5.19,25/05/19,02:47:23:67,Normal
SD,1.77,25/05/19,02:47:23:67,Normal
IU,-86.63,25/05/19,02:47:23:67,Normal
ID,-15.4,25/05/19,02:47:23:67,Normal
Tm,19.78,25/05/19,02:47:23:67,Normal
SU,-3.66,25/05/19,02:57:24:25,Normal
SD,3.07,25/05/19,02:57:24:25,Normal
IU,-85.25,25/05/19,02:57:24:25,Normal
ID,-14.52,25/05/19,02:57:24:25,Normal
Tm,19.6,25/05/19,02:57:24:25,Normal
SU,-3.97,25/05/19,03:07:23:97,Normal
SD,2.71,25/05/19,03:07:23:97,Normal
IU,-85.3,25/05/19,03:07:23:97,Normal
ID,-15.16,25/05/19,03:07:23:97,Normal
